0:0	38.13	39.00	25.00	29.75	23.88	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.75	0.43	-8.00	0	207
0:1	38.13	39.00	24.88	30.00	23.75	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.50	0.21	-8.00	0	207
0:2	38.13	39.00	24.88	30.00	23.75	0.00	-0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.50	-0.07	-8.00	0	207
0:3	38.13	39.00	24.88	30.00	23.63	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.50	0.00	-8.00	0	207
0:4	38.13	39.00	24.88	29.25	23.63	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-18.25	-0.50	-8.00	0	207
0:5	38.00	39.00	24.75	29.50	23.50	0.00	-0.18	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-18.00	-0.29	-8.13	0	207
0:6	38.00	39.00	24.75	29.50	23.50	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-18.00	-0.57	-8.13	0	207
0:7	38.00	39.00	24.75	29.75	23.38	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.75	-0.36	-8.13	0	207
0:8	38.00	39.00	24.75	29.75	23.38	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.75	0.00	-8.13	0	207
0:9	38.00	39.00	24.75	29.00	23.25	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-18.50	-1.22	-8.13	0	207
0:10	38.00	39.00	24.75	29.75	23.13	0.00	0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.75	-0.45	-8.13	0	207
0:11	38.00	39.00	24.63	30.00	23.13	0.00	-0.00	z	0	0	0	0	0	0.00	48708730	184414500	27400734	0	-17.50	0.37	-8.13	0	207
0:12	38.00	39.00	24.63	29.75	23.00	0.00	-0.00	F	2	60	0	0	0	0.00	48718324	184414500	27400734	0	0.00	0.49	0.13	1	124
